# Wordstat regions of Russia: id|name|parent_id. Taken from the wordstat.yandex.ru region picker on 2026-09-10.
# The id is the region= value in a Wordstat URL. kw.py record re-checks the name against the live page.
11013|Кабардино-Балкарская Республика|102444
11015|Республика Калмыкия|26
11020|Карачаево-Черкесская Республика|102444
11021|Республика Северная Осетия — Алания|102444
11024|Чеченская Республика|102444
11029|Ростовская область|26
11030|Азов|11029
11033|Батайск|11029
11034|Белая Калитва|99411
11036|Волгодонск|11029
11037|Гуково|11029
11043|Каменск-Шахтинский|11029
11049|Новошахтинск|11029
11053|Шахты|11029
11055|Будённовск|99456
11056|Георгиевск|11069
11057|Ессентуки|11069
11062|Кисловодск|11069
11063|Минеральные Воды|11069
11064|Невинномысск|11069
11067|Пятигорск|11069
11069|Ставропольский край|102444
11070|Кировская область|40
11071|Кирово-Чепецк|11070
11077|Республика Марий Эл|40
11079|Нижегородская область|40
11080|Арзамас|11079
11082|Павлово|99560
11083|Саров|11079
11084|Оренбургская область|40
11086|Бузулук|11084
11087|Гай|11084
11090|Новотроицк|11084
11091|Орск|11084
11095|Пензенская область|40
11101|Кузнецк|11095
11108|Пермский край|40
11110|Соликамск|11108
11111|Республика Башкортостан|40
11113|Кумертау|11111
11114|Нефтекамск|11111
11115|Салават|11111
11116|Стерлитамак|11111
11117|Республика Мордовия|40
11119|Республика Татарстан|40
11121|Альметьевск|11119
11122|Бугульма|11119
11127|Нижнекамск|11119
11129|Чистополь|11119
11131|Самарская область|40
11132|Жигулёвск|11131
11135|Новокуйбышевск|11131
11139|Сызрань|11131
11143|Балаково|99817
11144|Балашов|99818
11146|Саратовская область|40
11147|Энгельс|99850
11148|Удмуртская Республика|40
11149|Воткинск|11148
11150|Глазов|11148
11152|Сарапул|11148
11153|Ульяновская область|40
11155|Димитровград|11153
11156|Чувашская Республика|40
11158|Курганская область|52
11159|Шадринск|11158
11160|Асбест|11162
11161|Верхняя Салда|11162
11162|Свердловская область|52
11164|Каменск-Уральский|11162
11165|Краснотурьинск|11162
11166|Кушва|11162
11167|Лесной|11162
11168|Нижний Тагил|11162
11169|Нижняя Тура|11162
11170|Новоуральск|11162
11171|Первоуральск|11162
11172|Серов|11162
11173|Ишим|11176
11175|Тобольск|11176
11176|Тюменская область|52
11177|Югорск|11193
11178|Ялуторовск|11176
11180|Когалым|11193
11181|Лангепас|11193
11182|Мегион|11193
11184|Нефтеюганск|11193
11186|Нягань|11193
11188|Пыть-Ях|11193
11189|Радужный|11193
11192|Урай|11193
11193|Ханты-Мансийский автономный округ - Югра|52
11196|Аша|100005
11200|Верхний Уфалей|11225
11202|Златоуст|11225
11207|Копейск|11225
11212|Миасс|11225
11214|Озёрск|11225
11217|Сатка|100020
11218|Снежинск|11225
11220|Троицк|11225
11223|Усть-Катав|11225
11224|Чебаркуль|11225
11225|Челябинская область|52
11227|Южноуральск|11225
11228|Губкинский|11232
11229|Надым|100028
11230|Новый Уренгой|11232
11231|Ноябрьск|11232
11232|Ямало-Ненецкий автономный округ|52
11235|Алтайский край|59
11240|Заринск|11235
11246|Новоалтайск|11235
11251|Рубцовск|11235
11256|Ангарск|11266
11266|Иркутская область|59
11268|Нижнеудинск|100109
11270|Тайшет|100112
11271|Тулун|11266
11272|Усолье-Сибирское|11266
11273|Усть-Илимск|11266
11274|Черемхово|11266
11276|Анжеро-Судженск|11282
11277|Белово|11282
11278|Берёзовский (Кемеровская область)|11282
11282|Кемеровская область (Кузбасс)|59
11283|Киселёвск|11282
11285|Ленинск-Кузнецкий|11282
11287|Междуреченск|11282
11288|Мыски|11282
11291|Прокопьевск|11282
11292|Полысаево|11282
11299|Юрга|11282
11302|Ачинск|11309
11304|Енисейск|11309
11309|Красноярский край|59
11310|Минусинск|11309
11311|Норильск|11309
11314|Бердск|11316
11316|Новосибирская область|59
11318|Омская область|59
11319|Горно-Алтайск|10231
11327|Северобайкальск|11330
11330|Республика Бурятия|73
11333|Кызыл|10233
11340|Республика Хакасия|59
11349|Колпашево|100280
11351|Северск|11353
11352|Стрежевой|11353
11353|Томская область|59
11374|Белогорск|11375
11375|Амурская область|73
11387|Свободный|11375
11391|Тында|11375
11393|Биробиджан|10243
11398|Камчатский край|73
11403|Магаданская область|73
11405|Арсеньев|11409
11406|Артём|11409
11409|Приморский край|73
11411|Дальнегорск|11409
11425|Спасск-Дальний|11409
11426|Уссурийск|11409
11437|Нерюнгри|101987
11443|Республика Саха (Якутия)|73
11450|Сахалинская область|73
11451|Амурск|100398
11453|Комсомольск-на-Амуре|11457
11457|Хабаровский край|73
11463|Евпатория|977
11464|Керчь|977
11469|Феодосия|977
11470|Ялта|977
11471|Алушта|977
11472|Судак|977
20010|Рузаевка|99737
20020|Вятские Поляны|11070
20040|Выкса|11079
20044|Кстово|99555
20063|Маркс|99832
20070|Новоульяновск|11153
20078|Шумерля|11156
20086|Железногорск|11309
20088|Зеленогорск|11309
20097|Усть-Кут|100116
20098|Барабинск|100183
20100|Искитим|11316
20101|Карасук|100189
20117|Новодвинск|10842
20139|Зеленоградск|10857
20144|Пионерский|10857
20155|Оленегорск|10897
20160|Невельск|11450
20167|Ахтубинск|99221
20181|Магас|11012
20192|Алексеевка|98697
20196|Шебекино|98716
20224|Ревда|11162
20234|Качканар|11162
20235|Октябрьский|11111
20237|Березники|11108
20243|Чайковский|110916
20244|Лысьва|11108
20259|Белорецк|99677
20293|Колпинский район|2
20297|Пушкинский район|2
20523|Электросталь|1
20556|Саки|977
20571|Жуковский|1
20576|Протвино|1
20579|Белоярский|11162
20587|Строитель|98717
20654|Невьянск|11162
20667|Богородицк|99044
20672|Североуральск|11162
20674|Троицк|213
20680|Учалы|99714
20684|Реж|11162
20691|Красноуфимск|11162
20704|Славянск-на-Кубани|99293
20707|Курчатов|10705
20714|Белебей|99675
20715|Мелеуз|99703
20716|Сибай|11111
20717|Туймазы|99712
20718|Ишимбай|99694
20720|Верхняя Пышма|11162
20721|Волжск|11077
20728|Королёв|1
21141|Тимашевск|99297
21154|Тутаев|99078
21161|Усть-Баргузин|100244
21521|Избербаш|11010
21619|Фрязино|1
21621|Реутов|1
21623|Ивантеевка|98604
21624|Щербинка|213
21625|Кубинка|98599
21627|Дедовск|98586
21630|Лыткарино|1
21632|Белоозерский|98581
21635|Лосино-Петровский|1
21641|Лобня|1
21642|Электроугли|98598
21645|Хотьково|98608
21646|Голицыно|98599
21647|Краснознаменск|1
21656|Старая Купавна|98598
21675|Каргасок|100278
21726|Полевской|11162
21735|Дзержинский|98594
21745|Нахабино|98590
21949|Забайкальский край|73
22829|Вознесенье|98630
24696|Бахчисарайский район|977
24702|Ленинский район|977
26081|Колпино|20293
27217|Бахчисарай|24696
27555|Джанкой|977
27693|Красноперекопск|977
28786|Щёлкино|24702
28892|Армянск|977
29397|Берёзовский (Свердловская область)|11162
37129|Покров|98755
37133|Новочебоксарск|11156
98580|Волоколамский район|1
98581|Воскресенский район|1
98582|Дмитровский городской округ|1
98584|Егорьевск (городской округ)|1
98585|Зарайск (городской округ)|1
98586|Истра (городской округ)|1
98587|Кашира (городской округ)|1
98588|Клин (городской округ)|1
98590|Красногорск (городской округ)|1
98591|Ленинский район|1
98593|Луховицы (городской округ)|1
98594|Люберцы (городской округ)|1
98595|Можайский (городской округ)|1
98596|Мытищи (городской округ)|1
98597|Наро-Фоминский городской округ|1
98598|Богородский (городской округ)|1
98599|Одинцовский район|1
98602|Павловский Посад (городской округ)|1
98604|Пушкинский район|1
98605|Раменский район|1
98606|Рузский городской округ|1
98607|Ступино (городской округ)|1
98608|Сергиево-Посадский район|1
98611|Солнечногорский район|1
98614|Чехов (городской округ)|1
98615|Шатура (городской округ)|1
98617|Щёлковский район|1
98620|Волховский район|10174
98621|Всеволожский район|10174
98622|Выборгский район|10174
98623|Гатчинский район|10174
98624|Кингисеппский район|10174
98625|Киришский район|10174
98626|Кировский район|10174
98629|Лужский район|10174
98630|Подпорожский район|10174
98631|Приозерский район|10174
98632|Сланцевский район|10174
98633|Тихвинский район|10174
98634|Тосненский район|10174
98697|Алексеевский район|10645
98716|Шебекинский район|10645
98717|Яковлевский район|10645
98745|Александровский район|10658
98750|Киржачский район|10658
98755|Петушинский район|10658
98787|Россошанский район|10672
98826|Малоярославецкий район|10693
98958|Вяземский район|10795
98959|Гагаринский район|10795
98981|Ярцевский район|10795
99008|Бологовский район|10819
99019|Конаковский район|10819
99028|Осташковский район|10819
99039|Удомельский район|10819
99044|Богородицкий район|10832
99070|Мышкинский район|10841
99078|Тутаевский район|10841
99079|Угличский район|10841
99105|Великоустюгский район|10853
99146|Боровичский район|10904
99147|Валдайский район|10904
99161|Старорусский район|10904
99193|Кондопожский район|10933
99203|Сегежский район|10933
99210|Район Печора|10939
99221|Ахтубинский район|10946
99269|Белореченский район|10995
99274|Ейский район|10995
99275|Кавказский район|10995
99281|Крымский район|10995
99293|Славянский район|10995
99297|Тимашевский район|10995
99298|Тихорецкий район|10995
99299|Туапсинский район|10995
99411|Белокалитвинский район|11029
99456|Будённовский район|11069
99555|Кстовский район|11079
99560|Павловский район|11079
99675|Белебеевский район|11111
99677|Белорецкий район|11111
99694|Ишимбайский район|11111
99703|Мелеузовский район|11111
99712|Туймазинский район|11111
99714|Учалинский район|11111
99737|Рузаевский район|11117
99817|Балаковский район|11146
99818|Балашовский район|11146
99832|Марксовский район|11146
99850|Энгельсский район|11146
100005|Ашинский район|11225
100020|Саткинский район|11225
100028|Надымский район|11232
100109|Нижнеудинский район|11266
100112|Тайшетский район|11266
100116|Усть-Кутский район|11266
100183|Барабинский район|11316
100189|Карасукский район|11316
100244|Баргузинский район|11330
100278|Каргасокский район|11353
100280|Колпашевский район|11353
100398|Амурский район|11457
100471|Красноармейск|98604
101749|Кандалакшский район|10897
101987|Нерюнгринский район|11443
110916|Чайковский район|11108
110934|Сортавальский район|10933
